[I 221224 08:35:42 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 0,
      "cuda": 6,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.8,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "K_CIRS_len30_r08"
    }
[I 221224 08:37:44 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.19477', 'CV_turn': '0.90756', 'ctr': '0.86534', 'len_tra': 7.14, 'R_tra': 6.178550489100063, 'ifeat_feat': 0.7773109243697479, 'NX_0_CV': '0.20439', 'NX_0_CV_turn': '0.88773', 'NX_0_ctr': '0.89830', 'NX_0_len_tra': 7.66, 'NX_0_R_tra': 6.880970876656372, 'NX_0_ifeat_feat': 0.779373368146214, 'NX_10_CV': '0.26060', 'NX_10_CV_turn': '0.86700', 'NX_10_ctr': '0.82732', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.273224622375865, 'NX_10_ifeat_feat': 0.773}]
[I 221224 08:38:53 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.24497', 'CV_turn': '0.82825', 'ctr': '0.86994', 'len_tra': 9.84, 'R_tra': 8.560250319534529, 'ifeat_feat': 0.7388211382113821, 'NX_0_CV': '0.25218', 'NX_0_CV_turn': '0.83816', 'NX_0_ctr': '0.85838', 'NX_0_len_tra': 10.01, 'NX_0_R_tra': 8.592388259825626, 'NX_0_ifeat_feat': 0.7222777222777222, 'NX_10_CV': '0.25008', 'NX_10_CV_turn': '0.83200', 'NX_10_ctr': '0.86798', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.67976129336248, 'NX_10_ifeat_feat': 0.74}]
[I 221224 08:39:51 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.25008', 'CV_turn': '0.60203', 'ctr': '0.83488', 'len_tra': 13.82, 'R_tra': 11.537982653443114, 'ifeat_feat': 0.5499276410998553, 'NX_0_CV': '0.23024', 'NX_0_CV_turn': '0.61231', 'NX_0_ctr': '0.78607', 'NX_0_len_tra': 12.51, 'NX_0_R_tra': 9.833769636780055, 'NX_0_ifeat_feat': 0.5619504396482814, 'NX_10_CV': '0.18846', 'NX_10_CV_turn': '0.62700', 'NX_10_ctr': '0.82002', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.20016361761521, 'NX_10_ifeat_feat': 0.518}]
[I 221224 08:40:40 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.17674', 'CV_turn': '0.36613', 'ctr': '0.84648', 'len_tra': 16.06, 'R_tra': 13.5944638613471, 'ifeat_feat': 0.3617683686176837, 'NX_0_CV': '0.20529', 'NX_0_CV_turn': '0.36272', 'NX_0_ctr': '0.83772', 'NX_0_len_tra': 18.83, 'NX_0_R_tra': 15.774318028924775, 'NX_0_ifeat_feat': 0.3919277748274031, 'NX_10_CV': '0.10881', 'NX_10_CV_turn': '0.36200', 'NX_10_ctr': '0.81435', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.143531682938917, 'NX_10_ifeat_feat': 0.326}]
[I 221224 08:41:26 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.16742', 'CV_turn': '0.32067', 'ctr': '0.80106', 'len_tra': 17.37, 'R_tra': 13.914389778241537, 'ifeat_feat': 0.3897524467472654, 'NX_0_CV': '0.20529', 'NX_0_CV_turn': '0.35370', 'NX_0_ctr': '0.80117', 'NX_0_len_tra': 19.31, 'NX_0_R_tra': 15.47065778719526, 'NX_0_ifeat_feat': 0.41791817711030554, 'NX_10_CV': '0.09919', 'NX_10_CV_turn': '0.33000', 'NX_10_ctr': '0.77285', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.728475905427183, 'NX_10_ifeat_feat': 0.343}]
[I 221224 08:42:10 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.17253', 'CV_turn': '0.36866', 'ctr': '0.83832', 'len_tra': 15.57, 'R_tra': 13.052691814566865, 'ifeat_feat': 0.44701348747591524, 'NX_0_CV': '0.19026', 'NX_0_CV_turn': '0.38480', 'NX_0_ctr': '0.83670', 'NX_0_len_tra': 16.45, 'NX_0_R_tra': 13.763774533589036, 'NX_0_ifeat_feat': 0.4534954407294833, 'NX_10_CV': '0.11362', 'NX_10_CV_turn': '0.37800', 'NX_10_ctr': '0.80179', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.01788498964538, 'NX_10_ifeat_feat': 0.407}]
[I 221224 08:42:50 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.16561', 'CV_turn': '0.33949', 'ctr': '0.89184', 'len_tra': 16.23, 'R_tra': 14.474607864867794, 'ifeat_feat': 0.42760320394331486, 'NX_0_CV': '0.16922', 'NX_0_CV_turn': '0.34796', 'NX_0_ctr': '0.83927', 'NX_0_len_tra': 16.18, 'NX_0_R_tra': 13.579456507990152, 'NX_0_ifeat_feat': 0.44128553770086526, 'NX_10_CV': '0.10610', 'NX_10_CV_turn': '0.35300', 'NX_10_ctr': '0.91925', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.192533084420706, 'NX_10_ifeat_feat': 0.403}]
[I 221224 08:43:29 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.14548', 'CV_turn': '0.28370', 'ctr': '0.81470', 'len_tra': 17.06, 'R_tra': 13.898796677006683, 'ifeat_feat': 0.4308323563892145, 'NX_0_CV': '0.16802', 'NX_0_CV_turn': '0.30200', 'NX_0_ctr': '0.85590', 'NX_0_len_tra': 18.51, 'NX_0_R_tra': 15.842771970181973, 'NX_0_ifeat_feat': 0.44570502431118314, 'NX_10_CV': '0.08837', 'NX_10_CV_turn': '0.29400', 'NX_10_ctr': '0.85534', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.553392751353778, 'NX_10_ifeat_feat': 0.425}]
[I 221224 08:44:09 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.13345', 'CV_turn': '0.25517', 'ctr': '0.81466', 'len_tra': 17.4, 'R_tra': 14.175166835808355, 'ifeat_feat': 0.3988505747126437, 'NX_0_CV': '0.15269', 'NX_0_CV_turn': '0.23443', 'NX_0_ctr': '0.81585', 'NX_0_len_tra': 21.67, 'NX_0_R_tra': 17.67948858110466, 'NX_0_ifeat_feat': 0.39086294416243655, 'NX_10_CV': '0.07304', 'NX_10_CV_turn': '0.24300', 'NX_10_ctr': '0.80106', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.010643626514424, 'NX_10_ifeat_feat': 0.355}]
[I 221224 08:44:49 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.12293', 'CV_turn': '0.23160', 'ctr': '0.82268', 'len_tra': 17.66, 'R_tra': 14.528502080222578, 'ifeat_feat': 0.3607021517553794, 'NX_0_CV': '0.14638', 'NX_0_CV_turn': '0.25391', 'NX_0_ctr': '0.85287', 'NX_0_len_tra': 19.18, 'NX_0_R_tra': 16.3580464435273, 'NX_0_ifeat_feat': 0.3738269030239833, 'NX_10_CV': '0.07604', 'NX_10_CV_turn': '0.25300', 'NX_10_ctr': '0.81289', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.128897118813242, 'NX_10_ifeat_feat': 0.331}]
[I 221224 08:45:28 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.10640', 'CV_turn': '0.19854', 'ctr': '0.81397', 'len_tra': 17.83, 'R_tra': 14.513068258077531, 'ifeat_feat': 0.35782389231632084, 'NX_0_CV': '0.12744', 'NX_0_CV_turn': '0.19991', 'NX_0_ctr': '0.82802', 'NX_0_len_tra': 21.21, 'NX_0_R_tra': 17.562375656379484, 'NX_0_ifeat_feat': 0.3837812352663838, 'NX_10_CV': '0.06192', 'NX_10_CV_turn': '0.20600', 'NX_10_ctr': '0.79238', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.923824313474983, 'NX_10_ifeat_feat': 0.359}]
